43320_1967.txt,country:CHEf,party:SPS/PSS Social Democratic Party of Switzerland,year:1967,1.0,3697.0,0.000270562770563
43520_1987.txt,country:CHEf,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1987,6.0,11814.0,0.000508130081301
43810_1971.txt,country:CHEf,party:SVP/UDC Swiss People?s Party,year:1971,0.0,825.0,0.0
43520_1971.txt,country:CHEf,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1971,2.0,21712.0,9.21234454169e-05
43420_1971.txt,country:CHEf,party:FDP/PRD Radical Democratic Party,year:1971,2.0,7253.0,0.000275824024273
43420_1963.txt,country:CHEf,party:FDP/PRD Radical Democratic Party,year:1963,2.0,2109.0,0.000949216896061
43520_1975.txt,country:CHEf,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1975,6.0,20544.0,0.000292141396436
43520_1983.txt,country:CHEf,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1983,0.0,3864.0,0.0
43810_1979.txt,country:CHEf,party:SVP/UDC Swiss People?s Party,year:1979,0.0,5654.0,0.0
43520_1979.txt,country:CHEf,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1979,5.0,15087.0,0.000331521018433
uklibdem_2005.txt,country:GBR,party:uklibdem,year:2005,17.0,16261.0,0.00104654026102
ukcons_2005.txt,country:GBR,party:ukcons,year:2005,7.0,7529.0,0.000930603562882
uklab_2005.txt,country:GBR,party:uklab,year:2005,17.0,24250.0,0.000701522716956
ukcons_1992.txt,country:GBR,party:ukcons,year:1992,8.0,29370.0,0.000272461004019
uklab_1992.txt,country:GBR,party:uklab,year:1992,6.0,11439.0,0.000524796641301
uklibdem_2001.txt,country:GBR,party:uklibdem,year:2001,16.0,20837.0,0.000768454925316
51320_2001.txt,country:GBR,party:Labour Labour Party,year:2001,16.0,30951.0,0.000517213512203
ukcons_2001.txt,country:GBR,party:ukcons,year:2001,20.0,13185.0,0.00151917964299
53520_1965.txt,country:IRL,party:Familiy of the Irish,year:1965,3.0,9892.0,0.000303367377895
53320_1965.txt,country:IRL,party:Labour Labour Party,year:1965,4.0,3617.0,0.00110711320232
53620_1965.txt,country:IRL,party:Soldiers of Destiny,year:1965,1.0,2810.0,0.000355998576006
53520_1997.txt,country:IRL,party:Familiy of the Irish,year:1997,17.0,24101.0,0.000705862813486
53420_1997.txt,country:IRL,party:PD Progressive Democrats,year:1997,17.0,13936.0,0.00122135210863
53620_1997.txt,country:IRL,party:Soldiers of Destiny,year:1997,21.0,37729.0,0.000556911000318
53320_1997.txt,country:IRL,party:Labour Labour Party,year:1997,23.0,32748.0,0.00070282658518
53221_1997.txt,country:IRL,party:DLP Democratic Left Party,year:1997,3.0,2598.0,0.00115606936416
53110_1997.txt,country:IRL,party:Greens Green Party,year:1997,11.0,9132.0,0.00120600811315
53620_1987.txt,country:IRL,party:Soldiers of Destiny,year:1987,14.0,14668.0,0.000955370547291
53320_1987.txt,country:IRL,party:Labour Labour Party,year:1987,2.0,6153.0,0.000325150382052
53220_1987.txt,country:IRL,party:WP Workers? Party,year:1987,34.0,15498.0,0.00219865494051
53420_1987.txt,country:IRL,party:PD Progressive Democrats,year:1987,1.0,4805.0,0.000208159866778
53520_1987.txt,country:IRL,party:Familiy of the Irish,year:1987,8.0,17062.0,0.00046909815879
53620_1977.txt,country:IRL,party:Soldiers of Destiny,year:1977,3.0,6860.0,0.000437509114773
53320_1977.txt,country:IRL,party:Labour Labour Party,year:1977,11.0,6769.0,0.00162770050311
53320_1982.txt,country:IRL,party:Labour Labour Party,year:1982,2.0,2877.0,0.000695652173913
53620_1982.txt,country:IRL,party:Soldiers of Destiny,year:1982,0.0,297.0,0.0
53220_1982.txt,country:IRL,party:WP Workers? Party,year:1982,11.0,7756.0,0.00142027114267
53520_1982.txt,country:IRL,party:Familiy of the Irish,year:1982,3.0,3969.0,0.000756429652042
53620_1973.txt,country:IRL,party:Soldiers of Destiny,year:1973,4.0,3013.0,0.00132934529744
53320_1973.txt,country:IRL,party:Labour Labour Party,year:1973,0.0,1180.0,0.0
53520_1973.txt,country:IRL,party:Familiy of the Irish,year:1973,0.0,1180.0,0.0
53420_1989.txt,country:IRL,party:PD Progressive Democrats,year:1989,4.0,4982.0,0.000803535556448
53520_1989.txt,country:IRL,party:Familiy of the Irish,year:1989,15.0,19744.0,0.000760302093365
53220_1989.txt,country:IRL,party:WP Workers? Party,year:1989,31.0,14984.0,0.00207316257607
53620_1989.txt,country:IRL,party:Soldiers of Destiny,year:1989,16.0,25561.0,0.000626345664514
53320_1989.txt,country:IRL,party:Labour Labour Party,year:1989,8.0,4015.0,0.0019965061143
53520_1992.txt,country:IRL,party:Familiy of the Irish,year:1992,8.0,3718.0,0.00215633423181
53420_1992.txt,country:IRL,party:PD Progressive Democrats,year:1992,5.0,3530.0,0.00141843971631
53221_1992.txt,country:IRL,party:DLP Democratic Left Party,year:1992,11.0,6431.0,0.00171339563863
53620_1992.txt,country:IRL,party:Soldiers of Destiny,year:1992,4.0,3781.0,0.00105904156738
53320_1992.txt,country:IRL,party:Labour Labour Party,year:1992,35.0,16394.0,0.00213949507916
53110_1992.txt,country:IRL,party:Greens Green Party,year:1992,9.0,3503.0,0.00257584430452
53620_1969.txt,country:IRL,party:Soldiers of Destiny,year:1969,0.0,651.0,0.0
53320_1969.txt,country:IRL,party:Labour Labour Party,year:1969,7.0,6846.0,0.00102354145343
53520_1969.txt,country:IRL,party:Familiy of the Irish,year:1969,9.0,9493.0,0.000948966680725
53520_2002.txt,country:IRL,party:Familiy of the Irish,year:2002,8.0,7467.0,0.00107252982974
53320_2002.txt,country:IRL,party:Labour Labour Party,year:2002,24.0,25034.0,0.000959616153539
53110_2002.txt,country:IRL,party:Greens Green Party,year:2002,28.0,9576.0,0.00293255131965
53620_2002.txt,country:IRL,party:Soldiers of Destiny,year:2002,24.0,32246.0,0.000744832722984
53420_2002.txt,country:IRL,party:PD Progressive Democrats,year:2002,11.0,31114.0,0.000353663633733
53520_1981.txt,country:IRL,party:Familiy of the Irish,year:1981,8.0,13934.0,0.000574465029441
53320_1981.txt,country:IRL,party:Labour Labour Party,year:1981,12.0,13137.0,0.000914285714286
53620_1981.txt,country:IRL,party:Soldiers of Destiny,year:1981,3.0,19529.0,0.000153641298781
22420_1994.txt,country:NLD,party:VVD People?s Party for Freedom and Democracy,year:1994,1.0,7916.0,0.000126342387871
22220_1994.txt,country:NLD,party:SP Socialist Party,year:1994,30.0,10591.0,0.0028406400909
22330_1994.txt,country:NLD,party:D?66 Democrats?66,year:1994,16.0,46699.0,0.000342737184842
22521_1994.txt,country:NLD,party:CDA Christian Democratic Appeal,year:1994,1.0,37268.0,2.68333914723e-05
22320_1994.txt,country:NLD,party:PvdA Labour Party,year:1994,56.0,41903.0,0.00133820823476
22701_1994.txt,country:NLD,party: ,year:1994,6.0,5527.0,0.00108675964499
22521_2006.txt,country:NLD,party:CDA Christian Democratic Appeal,year:2006,4.0,38416.0,0.000104134124753
22330_2006.txt,country:NLD,party:D?66 Democrats?66,year:2006,15.0,25163.0,0.000596468904088
22320_2006.txt,country:NLD,party:PvdA Labour Party,year:2006,27.0,36141.0,0.000747632497093
22220_2006.txt,country:NLD,party:SP Socialist Party,year:2006,21.0,31306.0,0.000671248202014
22601_2006.txt,country:NLD,party: ,year:2006,5.0,1380.0,0.00363636363636
22720_2002.txt,country:NLD,party:LPF List Pim Fortuyn,year:2002,1.0,3641.0,0.000274725274725
22521_2002.txt,country:NLD,party:CDA Christian Democratic Appeal,year:2002,2.0,21318.0,9.3826233815e-05
22420_2002.txt,country:NLD,party:VVD People?s Party for Freedom and Democracy,year:2002,3.0,18768.0,0.000159872102318
22320_2002.txt,country:NLD,party:PvdA Labour Party,year:2002,17.0,37120.0,0.000458183974342
22220_2002.txt,country:NLD,party:SP Socialist Party,year:2002,14.0,28568.0,0.00049029908244
22330_2002.txt,country:NLD,party:D?66 Democrats?66,year:2002,7.0,15579.0,0.000449524788081
32520_1996.txt,country:ITA,party:PPI Italian Popular Party,year:1996,2.0,1692.0,0.00118343195266
32310_1996.txt,country:ITA,party:Pannella-Sgarbi List,year:1996,3.0,666.0,0.00452488687783
32110_1996.txt,country:ITA,party:FdV Green Federation,year:1996,3.0,6913.0,0.000434153400868
32710_1996.txt,country:ITA,party:AN National Alliance,year:1996,88.0,44417.0,0.00198515644386
32720_1996.txt,country:ITA,party:LN Northern League,year:1996,28.0,20842.0,0.00134524839051
32321_1996.txt,country:ITA,party:RI Italian Renewal,year:1996,1.0,711.0,0.00140845070423
32212_1996.txt,country:ITA,party:PRC Communist Refoundation Party,year:1996,2.0,5378.0,0.000372023809524
32610_1996.txt,country:ITA,party:FI Go Italy,year:1996,0.0,1051.0,0.0
32521_1996.txt,country:ITA,party:CCD Christian Democratic Centre,year:1996,1.0,1603.0,0.000624219725343
32529_1996.txt,country:ITA,party:AD Democratic Alliance,year:1996,13.0,9676.0,0.00134533788678
32528_1994.txt,country:ITA,party:PI Pact for Italy,year:1994,30.0,17821.0,0.00168624585465
32951_1994.txt,country:ITA,party:LR The Network/Movement for Democracy,year:1994,2.0,899.0,0.00222965440357
32110_1994.txt,country:ITA,party:FdV Green Federation,year:1994,11.0,12895.0,0.000853772120459
32610_1994.txt,country:ITA,party:FI Go Italy,year:1994,22.0,15584.0,0.00141370003856
32710_1994.txt,country:ITA,party:AN National Alliance,year:1994,50.0,17196.0,0.00291613204246
32720_1994.txt,country:ITA,party:LN Northern League,year:1994,23.0,25508.0,0.000902491661762
32520_1994.txt,country:ITA,party:PPI Italian Popular Party,year:1994,9.0,13023.0,0.000691562932227
32212_1994.txt,country:ITA,party:PRC Communist Refoundation Party,year:1994,13.0,12413.0,0.00104838709677
32220_1994.txt,country:ITA,party:DS Democrats of the Left,year:1994,11.0,6060.0,0.00181848239378
32220_1987.txt,country:ITA,party:DS Democrats of the Left,year:1987,1.0,154.0,0.00653594771242
32110_1987.txt,country:ITA,party:FdV Green Federation,year:1987,12.0,5032.0,0.00239043824701
32520_1987.txt,country:ITA,party:PPI Italian Popular Party,year:1987,23.0,30048.0,0.000766028309742
32330_1987.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1987,24.0,10486.0,0.00229401644045
32410_1987.txt,country:ITA,party:PRI Italian Republican Party,year:1987,11.0,2901.0,0.0038062283737
32710_1987.txt,country:ITA,party:AN National Alliance,year:1987,11.0,1167.0,0.00951557093426
32320_1987.txt,country:ITA,party:PSI Italian Socialist Party,year:1987,10.0,7825.0,0.00127959053103
32420_1987.txt,country:ITA,party:PLI Italian Liberal Party,year:1987,10.0,7792.0,0.00128501670522
32410_1963.txt,country:ITA,party:PRI Italian Republican Party,year:1963,11.0,15544.0,0.000708169703213
32330_1963.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1963,1.0,1427.0,0.00070126227209
32710_1963.txt,country:ITA,party:AN National Alliance,year:1963,19.0,8763.0,0.00217291857274
32420_1963.txt,country:ITA,party:PLI Italian Liberal Party,year:1963,7.0,1333.0,0.0052790346908
32220_1972.txt,country:ITA,party:DS Democrats of the Left,year:1972,3.0,2677.0,0.00112191473448
32420_1972.txt,country:ITA,party:PLI Italian Liberal Party,year:1972,4.0,1249.0,0.00321285140562
32320_1972.txt,country:ITA,party:PSI Italian Socialist Party,year:1972,7.0,4676.0,0.00149925037481
32710_1972.txt,country:ITA,party:AN National Alliance,year:1972,3.0,1753.0,0.00171428571429
32330_1972.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1972,19.0,7926.0,0.00240293410902
32410_1972.txt,country:ITA,party:PRI Italian Republican Party,year:1972,10.0,5237.0,0.00191314329443
32410_1968.txt,country:ITA,party:PRI Italian Republican Party,year:1968,12.0,7361.0,0.00163287522112
32420_1968.txt,country:ITA,party:PLI Italian Liberal Party,year:1968,4.0,3536.0,0.00113250283126
32710_1968.txt,country:ITA,party:AN National Alliance,year:1968,6.0,3275.0,0.00183542367697
32993_2008.txt,country:ITA,party: ,year:2008,2.0,3537.0,0.000565770862801
32340_2008.txt,country:ITA,party: ,year:2008,0.0,408.0,0.0
32520_1992.txt,country:ITA,party:PPI Italian Popular Party,year:1992,50.0,47051.0,0.00106380715304
32220_1992.txt,country:ITA,party:DS Democrats of the Left,year:1992,10.0,4682.0,0.0021404109589
32330_1992.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1992,3.0,3891.0,0.000771604938272
32420_1992.txt,country:ITA,party:PLI Italian Liberal Party,year:1992,11.0,9759.0,0.00112843660238
32110_1992.txt,country:ITA,party:FdV Green Federation,year:1992,4.0,1716.0,0.00233644859813
32410_1992.txt,country:ITA,party:PRI Italian Republican Party,year:1992,4.0,2039.0,0.0019656019656
32710_1992.txt,country:ITA,party:AN National Alliance,year:1992,1.0,1422.0,0.000703729767769
32320_1992.txt,country:ITA,party:PSI Italian Socialist Party,year:1992,16.0,22595.0,0.000708623056823
32212_1992.txt,country:ITA,party:PRC Communist Refoundation Party,year:1992,9.0,7311.0,0.0012325390304
32710_1983.txt,country:ITA,party:AN National Alliance,year:1983,56.0,23770.0,0.00236147423463
32320_1983.txt,country:ITA,party:PSI Italian Socialist Party,year:1983,21.0,16542.0,0.001271109497
32211_1983.txt,country:ITA,party:DP Proletarian Democracy,year:1983,12.0,6455.0,0.00186248641937
32410_1983.txt,country:ITA,party:PRI Italian Republican Party,year:1983,31.0,19450.0,0.00159637468459
32220_1983.txt,country:ITA,party:DS Democrats of the Left,year:1983,44.0,28225.0,0.00156133565168
32330_1983.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1983,12.0,9105.0,0.00131969646981
32520_1983.txt,country:ITA,party:PPI Italian Popular Party,year:1983,13.0,10640.0,0.00122329914369
32420_1983.txt,country:ITA,party:PLI Italian Liberal Party,year:1983,8.0,8473.0,0.000945067926757
32420_1979.txt,country:ITA,party:PLI Italian Liberal Party,year:1979,30.0,21154.0,0.00142018557091
32330_1979.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1979,28.0,7782.0,0.0036110394635
32410_1979.txt,country:ITA,party:PRI Italian Republican Party,year:1979,14.0,5256.0,0.00267073636017
32710_1979.txt,country:ITA,party:AN National Alliance,year:1979,5.0,2467.0,0.00203086921202
32220_1979.txt,country:ITA,party:DS Democrats of the Left,year:1979,11.0,27728.0,0.000396868347945
32720_2001.txt,country:ITA,party:LN Northern League,year:2001,0.0,1872.0,0.0
32902_2001.txt,country:ITA,party:IdV List Di Pietro - Italy of Values,year:2001,40.0,29265.0,0.00136869118905
32220_2001.txt,country:ITA,party:DS Democrats of the Left,year:2001,16.0,29474.0,0.000543146174214
32710_2001.txt,country:ITA,party:AN National Alliance,year:2001,0.0,1872.0,0.0
32213_2001.txt,country:ITA,party:PdCI Party of Italian Communists,year:2001,16.0,29474.0,0.000543146174214
32329_2001.txt,country:ITA,party:Olive Tree,year:2001,16.0,29775.0,0.000537652474882
32901_2001.txt,country:ITA,party:DE European Democracy,year:2001,7.0,5221.0,0.00134253931722
32212_2001.txt,country:ITA,party:PRC Communist Refoundation Party,year:2001,57.0,64768.0,0.000880839424518
CasaDelleLiberta_2001.txt,country:ITA,party:CasaDelleLiberta,year:2001,0.0,3157.0,0.0
32610_2001.txt,country:ITA,party:FI Go Italy,year:2001,0.0,1872.0,0.0
32522_2001.txt,country:ITA,party:White Flower,year:2001,0.0,1872.0,0.0
32611_2001.txt,country:ITA,party:NPSI New Italian Socialist Party,year:2001,0.0,1872.0,0.0
32420_1976.txt,country:ITA,party:PLI Italian Liberal Party,year:1976,8.0,11333.0,0.000706401766004
32330_1976.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1976,20.0,12713.0,0.00157567163003
32220_1976.txt,country:ITA,party:DS Democrats of the Left,year:1976,15.0,14528.0,0.0010335561221
32310_1976.txt,country:ITA,party:Pannella-Sgarbi List,year:1976,21.0,7566.0,0.00278330019881
32710_1976.txt,country:ITA,party:AN National Alliance,year:1976,13.0,4332.0,0.00300995600834
32320_1976.txt,country:ITA,party:PSI Italian Socialist Party,year:1976,8.0,5297.0,0.00151257326527
32520_1976.txt,country:ITA,party:PPI Italian Popular Party,year:1976,31.0,16531.0,0.00187878787879
32410_1976.txt,country:ITA,party:PRI Italian Republican Party,year:1976,4.0,7083.0,0.000565051560955
83411_2011.txt,country:EST,party:K Estonian Center Party,year:2011,3.0,5093.0,0.000589390962672
83430_2011.txt,country:EST,party:ER Estonian Reform Party,year:2011,4.0,12891.0,0.000310390315822
43420_1967.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1967,2.0,5727.0,0.000349344978166
43520_1967.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1967,0.0,1409.0,0.0
43810_1967.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1967,1.0,2328.0,0.000429737859905
43321_1967.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1967,0.0,2769.0,0.0
43810_1987.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1987,1.0,11358.0,8.80514220305e-05
43320_1987.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1987,22.0,27498.0,0.000800698791673
43110_1987.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1987,2.0,606.0,0.00331125827815
43420_1987.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1987,3.0,22156.0,0.000135421839029
43320_1971.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1971,3.0,7204.0,0.000416608804333
43321_1971.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1971,3.0,4548.0,0.000660066006601
43320_1963.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1963,2.0,1232.0,0.00162601626016
43810_1963.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1963,0.0,1339.0,0.0
43520_1963.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1963,1.0,3738.0,0.000267594327
43520_2003.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:2003,0.0,1294.0,0.0
43320_2003.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:2003,5.0,9292.0,0.00053838699257
43110_2003.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:2003,0.0,1562.0,0.0
43420_2003.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:2003,4.0,5706.0,0.000701508242722
43530_2003.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:2003,1.0,1329.0,0.000753012048193
43710_2003.txt,country:CHEg,party:SD/DS Swiss Democrats,year:2003,3.0,3387.0,0.000886524822695
43810_1999.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1999,5.0,11650.0,0.000429368827823
43320_1999.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1999,4.0,8227.0,0.000486440471847
43520_1999.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1999,16.0,22715.0,0.000704876866822
43420_1999.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1999,1.0,4690.0,0.000213265088505
43110_1999.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1999,4.0,3575.0,0.00112013441613
43530_1999.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:1999,1.0,1365.0,0.000733137829912
43321_1975.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1975,2.0,3113.0,0.000642880102861
43420_1975.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1975,5.0,9592.0,0.000521539584854
43810_1975.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1975,0.0,894.0,0.0
43320_1975.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1975,2.0,3650.0,0.000548245614035
43951_1991.txt,country:CHEg,party:FPS Freedom Party of Switzerland,year:1991,5.0,6457.0,0.00077495350279
43530_1991.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:1991,1.0,4218.0,0.000237135404316
43810_1991.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1991,2.0,2288.0,0.00087489063867
43420_1991.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1991,1.0,3607.0,0.000277315585136
43710_1991.txt,country:CHEg,party:SD/DS Swiss Democrats,year:1991,4.0,3409.0,0.00117474302496
43520_1991.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1991,1.0,5799.0,0.000172473266644
43110_1991.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1991,1.0,4082.0,0.000245037980887
43320_1991.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1991,2.0,3677.0,0.000544217687075
43530_1995.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:1995,1.0,865.0,0.00115740740741
43110_1995.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1995,5.0,2522.0,0.00198649185538
43321_1995.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1995,3.0,2248.0,0.00133630289532
43520_1995.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1995,1.0,1367.0,0.000732064421669
43320_1995.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1995,2.0,3833.0,0.000522056904203
43420_1995.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1995,6.0,2728.0,0.00220426157237
43810_1995.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1995,0.0,6498.0,0.0
